date,month,weekday,season,usage,prcp,tmax,tmin,year
2021-09-10,September,Friday,Fall,21.88,0,67,58,2021
2021-09-11,September,Saturday,Fall,24.76,0,71,57,2021
2021-09-12,September,Sunday,Fall,20.03,0.02,69,56,2021
2021-09-13,September,Monday,Fall,13.1,0,72,50,2021
2021-09-14,September,Tuesday,Fall,9.48,0,70,50,2021
2021-09-15,September,Wednesday,Fall,12.54,0,67,52,2021
2021-09-16,September,Thursday,Fall,25.73,0,69,45,2021
2021-09-17,September,Friday,Fall,18.16,0.6,68,55,2021
2021-09-18,September,Saturday,Fall,20.05,0.63,65,53,2021
2021-09-19,September,Sunday,Fall,29.84,0.17,65,53,2021
2021-09-20,September,Monday,Fall,35.89,0,71,54,2021
2021-09-21,September,Tuesday,Fall,10.290000000000001,0,77,50,2021
2021-09-22,September,Wednesday,Fall,19.74,0,69,53,2021
2021-09-23,September,Thursday,Fall,24.05,0,71,53,2021
2021-09-24,September,Friday,Fall,15.03,0,76,53,2021
2021-09-25,September,Saturday,Fall,18.41,0,79,51,2021
2021-09-26,September,Sunday,Fall,21.09,0.64,65,56,2021
2021-09-27,September,Monday,Fall,24.69,0.4,62,54,2021
2021-09-28,September,Tuesday,Fall,23.99,0.05,66,53,2021
2021-09-29,September,Wednesday,Fall,16.65,0.1,61,55,2021
2021-09-30,September,Thursday,Fall,28.89,0.36,62,51,2021
2021-10-01,October,Friday,Fall,33.6,0,64,48,2021
2021-10-02,October,Saturday,Fall,16.02,0,68,49,2021
2021-10-03,October,Sunday,Fall,22.24,0.02,58,53,2021
2021-10-04,October,Monday,Fall,22.080000000000002,0,64,51,2021
2021-10-05,October,Tuesday,Fall,22.77,0.22,58,50,2021
2021-10-06,October,Wednesday,Fall,30.81,0.01,61,47,2021
2021-10-07,October,Thursday,Fall,33.05,0,61,42,2021
2021-10-08,October,Friday,Fall,42.52,0,59,42,2021
2021-10-09,October,Saturday,Fall,31.86,0.09,58,42,2021
2021-10-10,October,Sunday,Fall,36.58,0.27,55,45,2021
2021-10-11,October,Monday,Fall,49.75,0.07,56,39,2021
2021-10-12,October,Tuesday,Fall,37.9,0.03,52,40,2021
2021-10-13,October,Wednesday,Fall,46.12,0.03,55,46,2021
2021-10-14,October,Thursday,Fall,28.39,0.02,60,47,2021
2021-10-15,October,Friday,Fall,40.56,0.03,60,53,2021
2021-10-16,October,Saturday,Fall,35.73,0.01,67,51,2021
2021-10-17,October,Sunday,Fall,34.28,0.01,58,50,2021
2021-10-18,October,Monday,Fall,41.44,0,56,49,2021
2021-10-19,October,Tuesday,Fall,33.49,0,60,44,2021
2021-10-20,October,Wednesday,Fall,28.32,0.26,62,50,2021
2021-10-21,October,Thursday,Fall,35.24,0.45,69,50,2021
2021-10-22,October,Friday,Fall,24.080000000000002,0.08,57,51,2021
2021-10-23,October,Saturday,Fall,7.82,0.17,56,49,2021
2021-10-24,October,Sunday,Fall,25.19,0.29,61,50,2021
2021-10-25,October,Monday,Fall,41.24,0.04,60,51,2021
2021-10-26,October,Tuesday,Fall,45.08,0.07,57,49,2021
2021-10-27,October,Wednesday,Fall,35.99,0.17,57,48,2021
2021-10-28,October,Thursday,Fall,32.82,1.77,60,47,2021
2021-10-29,October,Friday,Fall,43.87,0.49,52,40,2021
2021-10-30,October,Saturday,Fall,54.89,0,55,38,2021
2021-10-31,October,Sunday,Fall,40.25,0,62,39,2021
2021-11-01,November,Monday,Fall,53.910000000000004,0.09,55,39,2021
2021-11-02,November,Tuesday,Fall,63.19,0.15,52,43,2021
2021-11-03,November,Wednesday,Fall,46.59,0.44,60,45,2021
2021-11-04,November,Thursday,Fall,46.65,0.54,59,49,2021
2021-11-05,November,Friday,Fall,33.27,0.1,55,42,2021
2021-11-06,November,Saturday,Fall,48.09,0.44,50,42,2021
2021-11-07,November,Sunday,Fall,40.58,0.22,48,41,2021
2021-11-08,November,Monday,Fall,64.9,0,58,42,2021
2021-11-09,November,Tuesday,Fall,40.660000000000004,0.55,58,43,2021
2021-11-10,November,Wednesday,Fall,38.1,0.06,54,43,2021
2021-11-11,November,Thursday,Fall,28.72,0.76,55,46,2021
2021-11-12,November,Friday,Fall,39.6,0.7,59,46,2021
2021-11-13,November,Saturday,Fall,41.08,0.42,54,45,2021
2021-11-14,November,Sunday,Fall,48.89,0.71,61,54,2021
2021-11-15,November,Monday,Fall,49.07,0.25,62,41,2021
2021-11-16,November,Tuesday,Fall,52.87,0,50,37,2021
2021-11-17,November,Wednesday,Fall,64.97,0,51,33,2021
2021-11-18,November,Thursday,Fall,67.85,0.25,49,42,2021
2021-11-19,November,Friday,Fall,52.56,0.11,48,42,2021
2021-11-20,November,Saturday,Fall,54.72,0,50,39,2021
2021-11-21,November,Sunday,Fall,70.59,0,49,36,2021
2021-11-22,November,Monday,Fall,61.81,0.03,47,36,2021
2021-11-23,November,Tuesday,Fall,30.89,0.57,49,40,2021
2021-11-24,November,Wednesday,Fall,36.21,0.09,47,39,2021
2021-11-25,November,Thursday,Fall,43.64,0.61,48,43,2021
2021-11-26,November,Friday,Fall,54.92,0.1,51,45,2021
2021-11-27,November,Saturday,Fall,51.53,0.27,58,47,2021
2021-11-28,November,Sunday,Fall,39.27,0.19,60,54,2021
2021-11-29,November,Monday,Fall,33.74,0,58,52,2021
2021-11-30,November,Tuesday,Fall,60.75,0.07,55,52,2021
2021-12-01,December,Wednesday,Winter,46.68,0.01,58,50,2021
2021-12-02,December,Thursday,Winter,53.74,0.15,50,42,2021
2021-12-03,December,Friday,Winter,79.82000000000001,0.01,43,35,2021
2021-12-04,December,Saturday,Winter,52.09,0.32,41,33,2021
2021-12-05,December,Sunday,Winter,75.07000000000001,0,42,35,2021
2021-12-06,December,Monday,Winter,70.67,0.08,45,38,2021
2021-12-07,December,Tuesday,Winter,54.38,0.03,50,44,2021
2021-12-08,December,Wednesday,Winter,56.97,0.2,50,39,2021
2021-12-09,December,Thursday,Winter,56.35,0.01,44,36,2021
2021-12-10,December,Friday,Winter,66.01,0.24,46,40,2021
2021-12-11,December,Saturday,Winter,68.03,0.42,51,41,2021
2021-12-12,December,Sunday,Winter,67.47,0.19,44,37,2021
2021-12-13,December,Monday,Winter,62.2,0.14,43,36,2021
2021-12-14,December,Tuesday,Winter,51.55,0.11,42,36,2021
2021-12-15,December,Wednesday,Winter,61.88,0.08,44,37,2021
2021-12-16,December,Thursday,Winter,74.75,0.07,44,36,2021
2021-12-17,December,Friday,Winter,72.51,0.17,45,36,2021
2021-12-18,December,Saturday,Winter,56.15,0.76,51,38,2021
2021-12-19,December,Sunday,Winter,55.44,0,46,37,2021
2021-12-20,December,Monday,Winter,73.5,0,39,37,2021
2021-12-21,December,Tuesday,Winter,70.33,0.17,43,35,2021
2021-12-22,December,Wednesday,Winter,56.59,0.6,50,43,2021
2021-12-23,December,Thursday,Winter,57.980000000000004,0.08,46,40,2021
2021-12-24,December,Friday,Winter,54.980000000000004,0.35,42,38,2021
2021-12-25,December,Saturday,Winter,54.87,0.12,39,34,2021
2021-12-26,December,Sunday,Winter,90.44,0.21,34,22,2021
2021-12-27,December,Monday,Winter,87.63,0.02,25,17,2021
2021-12-28,December,Tuesday,Winter,85.57,0,29,24,2021
2021-12-29,December,Wednesday,Winter,93.21,0.1,30,22,2021
2021-12-30,December,Thursday,Winter,69.92,0.07,35,29,2021
2021-12-31,December,Friday,Winter,74.45,0,34,22,2021
2022-01-01,January,Saturday,Winter,75.14,0,37,20,2022
2022-01-02,January,Sunday,Winter,69.19,1.44,40,33,2022
2022-01-03,January,Monday,Winter,94.41,0.47,42,35,2022
2022-01-04,January,Tuesday,Winter,72.92,0.18,44,37,2022
2022-01-05,January,Wednesday,Winter,63.65,0.18,39,35,2022
2022-01-06,January,Thursday,Winter,79.13,1.46,51,37,2022
2022-01-07,January,Friday,Winter,60.01,0.95,48,38,2022
2022-01-08,January,Saturday,Winter,56.38,0,45,35,2022
2022-01-09,January,Sunday,Winter,76.28,0,52,35,2022
2022-01-10,January,Monday,Winter,52.77,0.23,45,31,2022
2022-01-11,January,Tuesday,Winter,49.88,0.75,52,44,2022
2022-01-12,January,Wednesday,Winter,49.97,0.11,56,41,2022
